source_id	source_path	source_kind	source_bytes	source_hash	subset_id	group_id	chunk_set_id	target_artifact	folder_artifact	mapping_mode	item_id	status
AC-011	claude-code/plugins/hookify/hooks/posttooluse.py	source	1776	b440f17f3a6c962d87f094ce8974cb6090881adec2e495eb2356aa89b945f741	agent_comms	claude-code		Docs/learn/agent_comms/files/claude-code/plugins/hookify/hooks/posttooluse.py_learn.md	Docs/learn/agent_comms/claude-code/plugins/hookify/hooks/current_folder_learn.md	understand	AC-011	[x]
AC-012	claude-code/plugins/hookify/hooks/pretooluse.py	source	2205	cf3f718f26f57979686ca00d9cccbe09bc7920943bdc35cd689ba5163a777aac	agent_comms	claude-code		Docs/learn/agent_comms/files/claude-code/plugins/hookify/hooks/pretooluse.py_learn.md	Docs/learn/agent_comms/claude-code/plugins/hookify/hooks/current_folder_learn.md	understand	AC-012	[x]
AC-013	claude-code/plugins/hookify/hooks/stop.py	source	1557	c37678c66db0d9ca0c2d4004ee073de88617c70c6def11bfd110d5610ddfb24c	agent_comms	claude-code		Docs/learn/agent_comms/files/claude-code/plugins/hookify/hooks/stop.py_learn.md	Docs/learn/agent_comms/claude-code/plugins/hookify/hooks/current_folder_learn.md	understand	AC-013	[x]
AC-014	claude-code/plugins/hookify/hooks/userpromptsubmit.py	source	1543	82c8784355826e9ecfa01c5b357c27d1246c21f0d26400d32ea962c7db4e3d01	agent_comms	claude-code		Docs/learn/agent_comms/files/claude-code/plugins/hookify/hooks/userpromptsubmit.py_learn.md	Docs/learn/agent_comms/claude-code/plugins/hookify/hooks/current_folder_learn.md	understand	AC-014	[x]
AC-015	codex/codex-rs/core/src/agent/agent_names.txt	source	766	f6ae12de892a2543bd109cd4da292e98f41c58ce29f0756f5e1eb8ef477e75f9	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/agent_names.txt_learn.md	Docs/learn/agent_comms/codex/codex-rs/core/src/agent/current_folder_learn.md	understand	AC-015	[x]
AC-016	codex/codex-rs/core/src/agent/builtins/awaiter.toml	source	1213	0e760708892f50ae3c6bcc0080e10276c8ac40e6f98bdd4924c3094ba5693f69	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/builtins/awaiter.toml_learn.md	Docs/learn/agent_comms/codex/codex-rs/core/src/agent/builtins/current_folder_learn.md	understand	AC-016	[x]
AC-017	codex/codex-rs/core/src/agent/builtins/explorer.toml	source	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/builtins/explorer.toml_learn.md	Docs/learn/agent_comms/codex/codex-rs/core/src/agent/builtins/current_folder_learn.md	understand	AC-017	[x]
AC-018	codex/codex-rs/core/src/agent/control.rs	source	21127	1bbaad2c63db6b05cc7048947501b88ab00f552531d045efa9a3e463782264be	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/control.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/core/src/agent/current_folder_learn.md	understand	AC-018	[x]
AC-019	codex/codex-rs/core/src/agent/control_tests.rs	source	34808	2f5d91da9952f766230292b12652053c2d8354f5c0f855e7cc1339e03d816dfc	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/control_tests.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/core/src/agent/current_folder_learn.md	understand	AC-019	[x]
AC-020	codex/codex-rs/core/src/agent/guards.rs	source	7520	5c934424258cd8a31fb1b7ebc11360229f91e1c4a0620509fa30d9ee401a665d	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/guards.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/core/src/agent/current_folder_learn.md	understand	AC-020	[x]
AC-021	codex/codex-rs/core/src/agent/guards_tests.rs	source	8395	7bdfa8b238e430526c4812e5f55a7bda155452c5ee2aa111e1b51cff3b5d41a9	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/guards_tests.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/core/src/agent/current_folder_learn.md	understand	AC-021	[x]
AC-022	codex/codex-rs/core/src/agent/mod.rs	source	326	7d4ac3345a53771db0d34e90a90c085dd488f1551079d0d4bb5a481b4116e9b1	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/mod.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/core/src/agent/current_folder_learn.md	understand	AC-022	[x]
AC-023	codex/codex-rs/core/src/agent/role.rs	source	18139	4fffb32e3f9c39570ba19425568bb0b727f45076610e380e26c096ec377d899b	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/role.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/core/src/agent/current_folder_learn.md	understand	AC-023	[x]
AC-024	codex/codex-rs/core/src/agent/role_tests.rs	source	22803	17cdabf745d5c0eeab0ca1a40134f23aad4bc3927ddd369337ed8d68e23a1a3b	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/role_tests.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/core/src/agent/current_folder_learn.md	understand	AC-024	[x]
AC-025	codex/codex-rs/core/src/agent/status.rs	source	1094	fbbbec8b65035d17ae977ca3d73a24286a6e11fcb176daa1909a3cbc777e3910	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/core/src/agent/status.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/core/src/agent/current_folder_learn.md	understand	AC-025	[x]
AC-026	codex/codex-rs/core/src/external_agent_config.rs	source	22848	9776eed65b77a2aed9931c45ef11da8f59fb2f1051978b5f2bb1d7bedd4d784d	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/core/src/external_agent_config.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/core/src/current_folder_learn.md	understand	AC-026	[x]
AC-027	codex/codex-rs/core/src/tasks/compact.rs	source	1442	696d43f6f62440ae1a99375b650632db44db7750f65a76bdf3ceb7ac82b95d8f	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/core/src/tasks/compact.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/core/src/tasks/current_folder_learn.md	understand	AC-027	[x]
AC-028	codex/codex-rs/core/src/tasks/ghost_snapshot.rs	source	10217	dbfc0e2734f96511fdffc3646ba2fbaac7905a1d07aa3aad95513dadd43928da	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/core/src/tasks/ghost_snapshot.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/core/src/tasks/current_folder_learn.md	understand	AC-028	[x]
AC-029	codex/codex-rs/core/src/tasks/mod.rs	source	17790	e85e5bd59fa9d50fbb365a362d59a29223baeb9b5ffa119817d2cfa38a08a432	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/core/src/tasks/mod.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/core/src/tasks/current_folder_learn.md	understand	AC-029	[x]
AC-030	codex/codex-rs/core/src/tasks/regular.rs	source	2263	36eaf4297c8700e5c610a12c64a8e40652e4f01b29bbc3a7f05bed495aa1be35	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/core/src/tasks/regular.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/core/src/tasks/current_folder_learn.md	understand	AC-030	[x]
AC-031	codex/codex-rs/core/src/tasks/review.rs	source	9687	72bbbd98e7a6e95e25c9f411b28225f76e8f921e511bed3d0b41b43a39cf81ba	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/core/src/tasks/review.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/core/src/tasks/current_folder_learn.md	understand	AC-031	[x]
AC-032	codex/codex-rs/core/src/tasks/undo.rs	source	4227	0bb393e546e415cf8bb33d088a09bdc668035f0683aedc4f9925859197a3ba44	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/core/src/tasks/undo.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/core/src/tasks/current_folder_learn.md	understand	AC-032	[x]
AC-033	codex/codex-rs/core/src/tasks/user_shell.rs	source	13341	f87841aadd7ec30bd62c34ed0618403c311b9f01107af3f3d53bbdd1b72ace98	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/core/src/tasks/user_shell.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/core/src/tasks/current_folder_learn.md	understand	AC-033	[x]
AC-034	codex/codex-rs/protocol/src/approvals.rs	source	11849	b6452ca6956c6f03001b0887a4703146015d2805b82c933598eb6196d0e72cfc	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/protocol/src/approvals.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/protocol/src/current_folder_learn.md	understand	AC-034	[x]
AC-035	codex/codex-rs/protocol/src/items.rs	source	9228	6a05493e2c334d722447ea5ac56fdb50a22a0a90733a12067c2e14b49a2e79f0	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/protocol/src/items.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/protocol/src/current_folder_learn.md	understand	AC-035	[x]
AC-036	codex/codex-rs/protocol/src/lib.rs	source	444	2fddb495f04cc545bb68629845afcfd8d52e339bcc533885c470d430f767f835	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/protocol/src/lib.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/protocol/src/current_folder_learn.md	understand	AC-036	[x]
AC-037	codex/codex-rs/protocol/src/message_history.rs	source	252	997e939050137d59e704bb0d5cb0868141584d46df8a6454635fbe9337c8cfc1	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/protocol/src/message_history.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/protocol/src/current_folder_learn.md	understand	AC-037	[x]
AC-038	codex/codex-rs/protocol/src/plan_tool.rs	source	801	0a5482699b191fbeeb8f58790b62f6b331b64e29a38b3286a669aff4c699fdd9	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/protocol/src/plan_tool.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/protocol/src/current_folder_learn.md	understand	AC-038	[x]
AC-039	codex/codex-rs/protocol/src/protocol.rs	source	155755	dd9fb47475b0740800460353ce0798e1611430ea68f78f29e237386262713706	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/protocol/src/protocol.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/protocol/src/current_folder_learn.md	understand	AC-039	[x]
AC-040	codex/codex-rs/protocol/src/request_user_input.rs	source	1784	f617bec633ca8ccc9df9f5b9c567cddb93a366ed51cc16f9948496d23eb492a6	agent_comms	codex		Docs/learn/agent_comms/files/codex/codex-rs/protocol/src/request_user_input.rs_learn.md	Docs/learn/agent_comms/codex/codex-rs/protocol/src/current_folder_learn.md	understand	AC-040	[x]
AC-041	opencode/packages/opencode/src/acp/agent.ts	source	2627	3bf7c0a31bbf8c3dd5b3d06ddf38eff0c988858e5df6bb46d3abecc906f15a57	agent_comms	opencode		Docs/learn/agent_comms/files/opencode/packages/opencode/src/acp/agent.ts_learn.md	Docs/learn/agent_comms/opencode/packages/opencode/src/acp/current_folder_learn.md	understand	AC-041	[x]
AC-042	opencode/packages/opencode/src/acp/config-option.ts	source	6163	4545cf9639b12b4a9a0bd28d9a5f61b3d8e7e6706558f04c66454773813ed1a1	agent_comms	opencode		Docs/learn/agent_comms/files/opencode/packages/opencode/src/acp/config-option.ts_learn.md	Docs/learn/agent_comms/opencode/packages/opencode/src/acp/current_folder_learn.md	understand	AC-042	[x]
AC-043	opencode/packages/opencode/src/acp/content.ts	source	7092	8b3c0bc40893eb18a2a4b8f8709a2188ffe5aa11e4d93232b4bd80989ba2bbc3	agent_comms	opencode		Docs/learn/agent_comms/files/opencode/packages/opencode/src/acp/content.ts_learn.md	Docs/learn/agent_comms/opencode/packages/opencode/src/acp/current_folder_learn.md	understand	AC-043	[x]
AC-044	opencode/packages/opencode/src/acp/directory.ts	source	7273	c4f0f38ef433713afdd50f89d7ecf2ce8130f5104dc7606a2ff3f090726109b4	agent_comms	opencode		Docs/learn/agent_comms/files/opencode/packages/opencode/src/acp/directory.ts_learn.md	Docs/learn/agent_comms/opencode/packages/opencode/src/acp/current_folder_learn.md	understand	AC-044	[x]
AC-045	opencode/packages/opencode/src/acp/error.ts	source	3525	60657818576b13275c4d3e665e6c586f686d98cc5ef30ac2ef4c0402c2c8080b	agent_comms	opencode		Docs/learn/agent_comms/files/opencode/packages/opencode/src/acp/error.ts_learn.md	Docs/learn/agent_comms/opencode/packages/opencode/src/acp/current_folder_learn.md	understand	AC-045	[x]
AC-046	opencode/packages/opencode/src/acp/event.ts	source	12434	bbbfe1e210ba7ddf7b76a8d7d829e6f7e44d4d714c79dce832681ced9314d9ca	agent_comms	opencode		Docs/learn/agent_comms/files/opencode/packages/opencode/src/acp/event.ts_learn.md	Docs/learn/agent_comms/opencode/packages/opencode/src/acp/current_folder_learn.md	understand	AC-046	[x]
AC-047	opencode/packages/opencode/src/acp/permission.ts	source	7694	b83f1b30015f92f432e56a444a7304e131b1824b06870e7842c70db6bd969743	agent_comms	opencode		Docs/learn/agent_comms/files/opencode/packages/opencode/src/acp/permission.ts_learn.md	Docs/learn/agent_comms/opencode/packages/opencode/src/acp/current_folder_learn.md	understand	AC-047	[x]
AC-048	opencode/packages/opencode/src/acp/profile.ts	source	1281	e18bc3b08f5a26506394434436333fddc88ac15dcc9fbfbc0eb09944486e3c3a	agent_comms	opencode		Docs/learn/agent_comms/files/opencode/packages/opencode/src/acp/profile.ts_learn.md	Docs/learn/agent_comms/opencode/packages/opencode/src/acp/current_folder_learn.md	understand	AC-048	[x]
AC-049	opencode/packages/opencode/src/acp/service.ts	source	42641	238750d52e220080db7b7f4992432fbfc7fb7ec5a15a6175460f8f0832a2c8de	agent_comms	opencode		Docs/learn/agent_comms/files/opencode/packages/opencode/src/acp/service.ts_learn.md	Docs/learn/agent_comms/opencode/packages/opencode/src/acp/current_folder_learn.md	understand	AC-049	[x]
AC-050	opencode/packages/opencode/src/acp/session.ts	source	7944	cc73f70f7d7071fd6bf808871c65bcb87d9f737f9e292be5e279ee51f5c9507e	agent_comms	opencode		Docs/learn/agent_comms/files/opencode/packages/opencode/src/acp/session.ts_learn.md	Docs/learn/agent_comms/opencode/packages/opencode/src/acp/current_folder_learn.md	understand	AC-050	[x]
AC-051	opencode/packages/opencode/src/acp/tool.ts	source	10665	decfa2d51b4edcf5a2259b754e1d6528b4d42aeff1309981c5ec19ff09d45e3e	agent_comms	opencode		Docs/learn/agent_comms/files/opencode/packages/opencode/src/acp/tool.ts_learn.md	Docs/learn/agent_comms/opencode/packages/opencode/src/acp/current_folder_learn.md	understand	AC-051	[x]
AC-052	opencode/packages/opencode/src/acp/usage.ts	source	8730	09b2c0ec9a31a78cf85d5810d8bc7aa8d9b0fa460b16f4d0008d7d5b4d3fc38b	agent_comms	opencode		Docs/learn/agent_comms/files/opencode/packages/opencode/src/acp/usage.ts_learn.md	Docs/learn/agent_comms/opencode/packages/opencode/src/acp/current_folder_learn.md	understand	AC-052	[x]
AC-053	opencode/packages/opencode/src/cli/cmd/run/subagent-data.ts	source	22129	d5f7d3dec7e743679e9b06504cc92381242a4d50842d040806fc2bcbd10dacbb	agent_comms	opencode		Docs/learn/agent_comms/files/opencode/packages/opencode/src/cli/cmd/run/subagent-data.ts_learn.md	Docs/learn/agent_comms/opencode/packages/opencode/src/cli/cmd/run/current_folder_learn.md	understand	AC-053	[x]
AC-054	opencode/packages/opencode/src/sync/README.md	source	9181	a4b011597b8bfe1dfaf167bbae538dac1c7d36dc862cf9562a0fb416e42a0b8f	agent_comms	opencode		Docs/learn/agent_comms/files/opencode/packages/opencode/src/sync/README.md_learn.md	Docs/learn/agent_comms/opencode/packages/opencode/src/sync/current_folder_learn.md	understand	AC-054	[x]
AC-055	opencode/packages/opencode/src/sync/schema.ts	source	330	4c3366bb2b30e0e1f7868c3d0237293d1f8bbbc60d168916f7383014f0695e14	agent_comms	opencode		Docs/learn/agent_comms/files/opencode/packages/opencode/src/sync/schema.ts_learn.md	Docs/learn/agent_comms/opencode/packages/opencode/src/sync/current_folder_learn.md	understand	AC-055	[x]
